name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list
Chien-Te Fan ,Mr.,Mr. Chien-Te Fan ,9
Craig Rucker ,Mr.,Mr. Craig Rucker ,9
Daniel Bodansky ,Mr.,Mr. Daniel Bodansky ,9
David Mmile Lesolle ,Mr.,Mr. David Mmile Lesolle ,9
Denis Sombi Lansana ,Mr.,Mr. Denis Sombi Lansana ,9
Diarmid Campbell-Lendrum ,Mr.,Mr. Diarmid Campbell-Lendrum ,9
Edmund Jackson ,Mr.,Mr. Edmund Jackson ,9
Einar Telnes ,Mr.,Mr. Einar Telnes ,9
Elias Crisostomo Abramides ,Mr.,Mr. Elias Crisostomo Abramides ,9
EmÃ­lio LÃ¨bre La Rovere ,Mr.,Mr. EmÃ­lio LÃ¨bre La Rovere ,9
Emmanuel Dumisani Dlamini ,Mr.,Mr. Emmanuel Dumisani Dlamini ,9
Eugene M. Trisko ,Mr.,Mr. Eugene M. Trisko ,9
Frank McGovern ,Mr.,Mr. Frank McGovern ,9
Franz Uirab ,Mr.,Mr. Franz Uirab ,9
FrÃ©dÃ©ric Achard ,Mr.,Mr. FrÃ©dÃ©ric Achard ,9
Gao Li ,Mr.,Mr. Gao Li ,9
Gaston Meskens ,Mr.,Mr. Gaston Meskens ,9
Gerhard Loibl ,Mr.,Mr. Gerhard Loibl ,9
Grigol Lazriev ,Mr.,Mr. Grigol Lazriev ,9
Haneda Sri Mulyanto ,Mr.,Mr. Haneda Sri Mulyanto ,9
Hans Nilsagard ,Mr.,Mr. Hans Nilsagard ,9
Haruo Imai ,Mr.,Mr. Haruo Imai ,9
Herwig DÃ¼rr ,Mr.,Mr. Herwig DÃ¼rr ,9
Hiroki Kondo ,Mr.,Mr. Hiroki Kondo ,9
Holger Liptow ,Mr.,Mr. Holger Liptow ,9
Hongwei Yang ,Mr.,Mr. Hongwei Yang ,9
Ian William Fry ,Mr.,Mr. Ian William Fry ,9
Iwao Matsuoka ,Mr.,Mr. Iwao Matsuoka ,9
John Alexander Harding ,Mr.,Mr. John Alexander Harding ,9
John Ashton ,Mr.,Mr. John Ashton ,9
John Frederick Scowcroft ,Mr.,Mr. John Frederick Scowcroft ,9
JosÃ© Romero ,Mr.,Mr. JosÃ© Romero ,9
Joseph Qamara ,Mr.,Mr. Joseph Qamara ,9
Julio Lambing ,Mr.,Mr. Julio Lambing ,9
JÃ¼rgen Maier ,Mr.,Mr. JÃ¼rgen Maier ,9
Jusen Asuka ,Mr.,Mr. Jusen Asuka ,9
Karl-Heinz Florenz ,Mr.,Mr. Karl-Heinz Florenz ,9
Kazuhito Yamada ,Mr.,Mr. Kazuhito Yamada ,9
Kenichiro Yamaguchi ,Mr.,Mr. Kenichiro Yamaguchi ,9
Kentaro Tamura ,Mr.,Mr. Kentaro Tamura ,9
Kilaparti Ramakrishna ,Mr.,Mr. Kilaparti Ramakrishna ,9
Laurent Corbier ,Mr.,Mr. Laurent Corbier ,9
Leon Charles ,Mr.,Mr. Leon Charles ,9
Mark Doherty ,Mr.,Mr. Mark Doherty ,9
Mark Kenber ,Mr.,Mr. Mark Kenber ,9
Matthias Braun ,Mr.,Mr. Matthias Braun ,9
Matti Nummelin ,Mr.,Mr. Matti Nummelin ,9
Michael Goo ,Mr.,Mr. Michael Goo ,9
Mohammad Reza Salamat ,Mr.,Mr. Mohammad Reza Salamat ,9
Mohammad Soltanieh ,Mr.,Mr. Mohammad Soltanieh ,9
Naoyuki Yamagishi ,Mr.,Mr. Naoyuki Yamagishi ,9
Norbert Gorissen ,Mr.,Mr. Norbert Gorissen ,9
Norio Suzuki ,Mr.,Mr. Norio Suzuki ,9
Nuno S. Lacasta ,Mr.,Mr. Nuno S. Lacasta ,9
Olle BjÃ¶rk ,Mr.,Mr. Olle BjÃ¶rk ,9
Oras Tynkkynen ,Mr.,Mr. Oras Tynkkynen ,9
Owen Ryan ,Mr.,Mr. Owen Ryan ,9
Pablo Suarez ,Mr.,Mr. Pablo Suarez ,9
Peer Stiansen ,Mr.,Mr. Peer Stiansen ,9
Peter Backlund ,Mr.,Mr. Peter Backlund ,9
Peter Hoeppe ,Mr.,Mr. Peter Hoeppe ,9
Prodipto Ghosh ,Mr.,Mr. Prodipto Ghosh ,9
Rawleston Moore ,Mr.,Mr. Rawleston Moore ,9
Riccardo Valentini ,Mr.,Mr. Riccardo Valentini ,9
Richard S. Muyungi ,Mr.,Mr. Richard S. Muyungi ,9
Riibeta Abeta ,Mr.,Mr. Riibeta Abeta ,9
Sandeep Chamling Rai ,Mr.,Mr. Sandeep Chamling Rai ,9
Sandro Federici ,Mr.,Mr. Sandro Federici ,9
Sebastian OberthÃ¼r ,Mr.,Mr. Sebastian OberthÃ¼r ,9
Secou Sarr ,Mr.,Mr. Secou Sarr ,9
Shawkat Ali Mirza ,Mr.,Mr. Shawkat Ali Mirza ,9
Sivan Kartha ,Mr.,Mr. Sivan Kartha ,9
Steven Guilbeault ,Mr.,Mr. Steven Guilbeault ,9
