donor;purposeName;nr of projects;total amount;amount per capita (amount / capita average 2010-2012);amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;
Finland;Energy policy and admin. management;3;3,7;6,86796E-07;4,969E-12;;;;;;;;;;;;;;
Finland;Forestry development;2;11,02;2,0442E-06;1,4791E-11;;;;;;;;;;;;;;
Finland;Agricultural development;2;3,4;6,30859E-07;4,564E-12;;;;;;;;;;;;;;
Finland;Flood prevention/control;2;2,87;5,32529E-07;3,853E-12;;;;;;;;;;;;;;
Finland;Reconstruction relief and rehabilitation;2;2,58;4,788E-07;3,464E-12;;;;;;;;;;;;;;
Finland;Biosphere protection;2;0,21;3,88078E-08;2,81E-13;;;;;;;;;;;;;;
Finland;Agricultural alternative development;1;2,09;3,88594E-07;2,812E-12;;;;;;;;;;;;;;
Finland;Forestry policy & admin. management;1;1,96;3,6442E-07;2,637E-12;;;;;;;;;;;;;;
Finland;Agricultural education/training;1;0,93;1,72606E-07;1,249E-12;;;;;;;;;;;;;;
Finland;Research/scientific institutions;1;0,72;1,32728E-07;9,6E-13;;;;;;;;;;;;;;
Finland;Technological research & development;1;0,68;1,26509E-07;9,15E-13;;;;;;;;;;;;;;
Finland;Social/welfare services;1;0,29;5,32E-08;3,85E-13;;;;;;;;;;;;;;
Finland;Environmental research;1;0,14;2,58031E-08;1,87E-13;;;;;;;;;;;;;;
Finland;Rural development;1;0,08;1,3974E-08;1,01E-13;;;;;;;;;;;;;;
France;Environmental research;124;21,83;3,33935E-07;2,749E-12;;;;;;;;;;;;;;
France;Water resources protection;18;2,42;3,69846E-08;3,04E-13;;;;;;;;;;;;;;
France;Water supply & sanit. - large systems;12;409,62;6,26644E-06;5,1583E-11;;;;;;;;;;;;;;
France;Fishery research;11;4,58;7,00484E-08;5,77E-13;;;;;;;;;;;;;;
France;Water resources policy/admin. mgmt;11;2,8;4,28673E-08;3,53E-13;;;;;;;;;;;;;;
France;Agricultural development;9;18,88;2,88878E-07;2,378E-12;;;;;;;;;;;;;;
France;Disaster prevention and preparedness;6;3,22;4,92942E-08;4,06E-13;;;;;;;;;;;;;;
France;Higher education;6;0,19;2,96206E-09;2,4E-14;;;;;;;;;;;;;;
France;River basins development;5;4,94;7,55887E-08;6,22E-13;;;;;;;;;;;;;;
France;Agricultural policy & admin. mgmt;5;1,77;2,70905E-08;2,23E-13;;;;;;;;;;;;;;
France;Bio-diversity;4;1,41;2,15604E-08;1,77E-13;;;;;;;;;;;;;;
France;Fishing policy and admin. management;4;0,14;2,21718E-09;1,8E-14;;;;;;;;;;;;;;
France;Food crop production;3;35,71;5,46326E-07;4,497E-12;;;;;;;;;;;;;;
France;Agricultural water resources;3;18;2,75409E-07;2,267E-12;;;;;;;;;;;;;;
France;Multisector education/training;3;0,02;2,63234E-10;2E-15;;;;;;;;;;;;;;
France;Urban development and management;2;7,65;1,16992E-07;9,63E-13;;;;;;;;;;;;;;
France;Environmental policy and admin. mgmt;2;0,58;8,84456E-09;7,3E-14;;;;;;;;;;;;;;
France;Sectors not specified;2;0,28;4,2147E-09;3,5E-14;;;;;;;;;;;;;;
France;Plant and post-harvest protection and pest control;2;0,05;7,99699E-10;7E-15;;;;;;;;;;;;;;
France;Agricultural research;2;0,01;1,86755E-10;2E-15;;;;;;;;;;;;;;
France;Fishery development;2;0;6,7599E-11;1E-15;;;;;;;;;;;;;;
France;Promotion of development awareness  (non-sector allocable);2;0;2,7534E-11;0;;;;;;;;;;;;;;
France;Hydro-electric power plants;1;73,85;1,12985E-06;9,3E-12;;;;;;;;;;;;;;
France;Fuelwood/charcoal;1;49,32;7,54544E-07;6,211E-12;;;;;;;;;;;;;;
France;Basic drinking water supply and basic sanitation;1;13,9;2,12713E-07;1,751E-12;;;;;;;;;;;;;;
France;Security system management and reform;1;2,78;4,25427E-08;3,5E-13;;;;;;;;;;;;;;
France;Energy policy and admin. management;1;1,41;2,15584E-08;1,77E-13;;;;;;;;;;;;;;
France;Reconstruction relief and rehabilitation;1;1,06;1,61688E-08;1,33E-13;;;;;;;;;;;;;;
France;Site preservation;1;0,7;1,07318E-08;8,8E-14;;;;;;;;;;;;;;
France;Fishery education/training;1;0,12;1,78554E-09;1,5E-14;;;;;;;;;;;;;;
France;Biosphere protection;1;0,06;8,97403E-10;7E-15;;;;;;;;;;;;;;
France;Forestry research;1;0,01;9,4991E-11;1E-15;;;;;;;;;;;;;;
Germany;Agricultural development;110;31,95;3,90445E-07;3,091E-12;;;;;;;;;;;;;;
Germany;Environmental policy and admin. mgmt;59;116,13;1,41929E-06;1,1235E-11;;;;;;;;;;;;;;
Germany;Agricultural land resources;36;11,12;1,35884E-07;1,076E-12;;;;;;;;;;;;;;
Germany;Bio-diversity;29;72,12;8,81416E-07;6,978E-12;;;;;;;;;;;;;;
Germany;Rural development;25;22,29;2,72367E-07;2,156E-12;;;;;;;;;;;;;;
Germany;Agricultural water resources;23;60,45;7,38768E-07;5,848E-12;;;;;;;;;;;;;;
Germany;Disaster prevention and preparedness;7;37,32;4,56142E-07;3,611E-12;;;;;;;;;;;;;;
Germany;Biosphere protection;7;5,59;6,83243E-08;5,41E-13;;;;;;;;;;;;;;
Germany;Democratic participation and civil society;7;2,51;3,06204E-08;2,42E-13;;;;;;;;;;;;;;
Germany;Forestry development;6;26,75;3,26979E-07;2,588E-12;;;;;;;;;;;;;;
Germany;Environmental education/training;6;2,21;2,7035E-08;2,14E-13;;;;;;;;;;;;;;
Germany;Water resources policy/admin. mgmt;5;18,92;2,31264E-07;1,831E-12;;;;;;;;;;;;;;
Germany;Environmental research;5;7,68;9,38301E-08;7,43E-13;;;;;;;;;;;;;;
Germany;Agricultural research;4;21,42;2,61756E-07;2,072E-12;;;;;;;;;;;;;;
Germany;Agricultural policy & admin. mgmt;4;10,64;1,29979E-07;1,029E-12;;;;;;;;;;;;;;
Germany;Water resources protection;3;17,12;2,0927E-07;1,657E-12;;;;;;;;;;;;;;
Germany;Agricultural financial services;3;6,71;8,20316E-08;6,49E-13;;;;;;;;;;;;;;
Germany;Agricultural education/training;3;0,71;8,66669E-09;6,9E-14;;;;;;;;;;;;;;
Germany;Multisector aid;2;30,05;3,67207E-07;2,907E-12;;;;;;;;;;;;;;
Germany;Flood prevention/control;2;11,62;1,4201E-07;1,124E-12;;;;;;;;;;;;;;
Germany;Material relief assistance and services;2;2,56;3,125E-08;2,47E-13;;;;;;;;;;;;;;
Germany;Multisector education/training;2;1,24;1,51123E-08;1,2E-13;;;;;;;;;;;;;;
Germany;Multisector aid for basic soc. serv.;2;0,53;6,42439E-09;5,1E-14;;;;;;;;;;;;;;
Germany;Agrarian reform;2;0,45;5,52289E-09;4,4E-14;;;;;;;;;;;;;;
Germany;Agricultural extension;2;0,31;3,78768E-09;3E-14;;;;;;;;;;;;;;
Germany;Fishing policy and admin. management;2;0,12;1,46011E-09;1,2E-14;;;;;;;;;;;;;;
Germany;Road transport;1;10,98;1,34136E-07;1,062E-12;;;;;;;;;;;;;;
Germany;Food aid/Food security programmes;1;7,16;8,75166E-08;6,93E-13;;;;;;;;;;;;;;
Germany;Urban development and management;1;2,3;2,80781E-08;2,22E-13;;;;;;;;;;;;;;
Germany;Agricultural alternative development;1;1,19;1,45667E-08;1,15E-13;;;;;;;;;;;;;;
Germany;Basic drinking water supply and basic sanitation;1;0,7;8,5512E-09;6,8E-14;;;;;;;;;;;;;;
Germany;Women's equality organisations and institutions;1;0,63;7,73221E-09;6,1E-14;;;;;;;;;;;;;;
Germany;Civilian peace-building, conflict prevention and resolution;1;0,55;6,70682E-09;5,3E-14;;;;;;;;;;;;;;
Germany;Agricultural inputs;1;0,25;3,02484E-09;2,4E-14;;;;;;;;;;;;;;
Germany;Site preservation;1;0,22;2,68273E-09;2,1E-14;;;;;;;;;;;;;;
Germany;Fishery development;1;0,2;2,39769E-09;1,9E-14;;;;;;;;;;;;;;
Germany;Trade facilitation;1;0,1;1,17369E-09;9E-15;;;;;;;;;;;;;;
Greece;Sectors not specified;18;0,52;4,61818E-08;6,28E-13;;;;;;;;;;;;;;
Greece;Bio-diversity;16;0,24;2,16524E-08;2,94E-13;;;;;;;;;;;;;;
Greece;Environmental education/training;7;0,04;3,72379E-09;5,1E-14;;;;;;;;;;;;;;
Greece;Environmental policy and admin. mgmt;4;2,84;2,51424E-07;3,418E-12;;;;;;;;;;;;;;
Greece;Agricultural education/training;2;1,01;8,9555E-08;1,217E-12;;;;;;;;;;;;;;
Greece;Power generation/renewable sources;1;0,06;5,43798E-09;7,4E-14;;;;;;;;;;;;;;
