Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
Jessica Troni,2006,Cop Side Event,2006_Cop Side Event,jessica troni,1,Jessica Troni,Ms.,Ms. Jessica Troni,5,,,2,Jessica Troni|2006|Cop Side Event
Jessie Davie,2010,Cop Side Event,2010_Cop Side Event,jessie davie,1,Jessie Davie,Ms.,Ms. Jessie Davie,1,,,2,Jessie Davie|2010|Cop Side Event
Jette Michelsen,2009,Cop Side Event,2009_Cop Side Event,jette michelsen,1,Jette Michelsen,Ms.,Ms. Jette Michelsen,2,,,2,Jette Michelsen|2009|Cop Side Event
Jiahua Pan,2006,Cop Side Event,2006_Cop Side Event,jiahua pan,1,Jiahua Pan,Mr.,Mr. Jiahua Pan,8,,,2,Jiahua Pan|2006|Cop Side Event
Jian Lin,2011,Cop Side Event,2011_Cop Side Event,jian lin,1,Jian Lin,Mr.,Mr. Jian Lin,4,,,2,Jian Lin|2011|Cop Side Event
Jiansheng Qu,2012,Cop Side Event,2012_Cop Side Event,jiansheng qu,1,Jiansheng Qu,Mr.,Mr. Jiansheng Qu,3,,,2,Jiansheng Qu|2012|Cop Side Event
Ji Chen,2011,Cop Side Event,2011_Cop Side Event,ji chen,1,Ji Chen,Mr.,Mr. Ji Chen,3,,,2,Ji Chen|2011|Cop Side Event
Jie Li,2011,Cop Side Event,2011_Cop Side Event,jie li,1,Jie Li,Mr.,Mr. Jie Li,3,,,2,Jie Li|2011|Cop Side Event
Jih-chang Yang,2011,Cop Side Event,2011_Cop Side Event,jih-chang yang,2,Jih-Chang Yang,Mr.,Mr. Jih-Chang Yang,1,,,2,Jih-Chang Yang|2011|Cop Side Event
Jih-chang Yang,2012,Cop Side Event,2012_Cop Side Event,jih-chang yang,2,Jih-Chang Yang,Mr.,Mr. Jih-Chang Yang,1,,,2,Jih-Chang Yang|2012|Cop Side Event
Jimena Nieto Carrasco,2001,SBSTA,2001_SBSTA,jimena nieto carrasco,2,Jimena Nieto Carrasco,Sra.,Sra. Jimena Nieto Carrasco,1,,FCCC_SBSTA_2001_8,3,Jimena Nieto Carrasco|2001|SBSTA
Jim Penman,1999,SBI,1999_SBI,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|1999|SBI
Jim Penman,1999,SBSTA,1999_SBSTA,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|1999|SBSTA
Jim Penman,2002,SBI,2002_SBI,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2002|SBI
Jim Penman,2002,SBSTA,2002_SBSTA,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2002|SBSTA
Jim Penman,2003,SBI,2003_SBI,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2003|SBI
Jim Penman,2003,SBSTA,2003_SBSTA,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2003|SBSTA
Jim Penman,2004,SBI,2004_SBI,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2004|SBI
Jim Penman,2004,SBSTA,2004_SBSTA,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2004|SBSTA
Jim Penman,2005,SBI,2005_SBI,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2005|SBI
Jim Penman,2006,SBI,2006_SBI,jim penman,14,Jim Penman,Mr.,Mr. Jim Penman,5,,FCCC_SBSTA_2002_13,2,Jim Penman|2006|SBI
Jim Walker,2004,Cop Side Event,2004_Cop Side Event,jim walker,1,Jim Walker,Mr.,Mr. Jim Walker,3,,,2,Jim Walker|2004|Cop Side Event
Jim Watson,2008,Cop Side Event,2008_Cop Side Event,jim watson,3,Jim Watson,Mr.,Mr. Jim Watson,1,,,2,Jim Watson|2008|Cop Side Event
Jim Watson,2010,Cop Side Event,2010_Cop Side Event,jim watson,3,Jim Watson,Mr.,Mr. Jim Watson,1,,,2,Jim Watson|2010|Cop Side Event
Jim Watson,2011,Cop Side Event,2011_Cop Side Event,jim watson,3,Jim Watson,Mr.,Mr. Jim Watson,1,,,2,Jim Watson|2011|Cop Side Event
Jin Jiaman,2012,Cop Side Event,2012_Cop Side Event,jin jiaman,1,Jin Jiaman,Mr.,Mr. Jin Jiaman,1,,,2,Jin Jiaman|2012|Cop Side Event
Jinwook Jo,2012,Cop Side Event,2012_Cop Side Event,jinwook jo,1,Jinwook Jo,Mr.,Mr. Jinwook Jo,1,,,2,Jinwook Jo|2012|Cop Side Event
Joachim Hein,2007,Cop Side Event,2007_Cop Side Event,joachim hein,2,Joachim Hein,Mr.,Mr. Joachim Hein,6,,,2,Joachim Hein|2007|Cop Side Event
Joachim Hein,2012,Cop Side Event,2012_Cop Side Event,joachim hein,2,Joachim Hein,Mr.,Mr. Joachim Hein,6,,,2,Joachim Hein|2012|Cop Side Event
Joan Kariuki,2010,Cop Side Event,2010_Cop Side Event,joan kariuki,1,Joan Kariuki,Ms.,Ms. Joan Kariuki,2,,,2,Joan Kariuki|2010|Cop Side Event
Joanna Depledge,2004,Cop Side Event,2004_Cop Side Event,joanna depledge,1,Joanna DEPLEDGE,Ms.,Ms. Joanna DEPLEDGE,2,,,2,Joanna DEPLEDGE|2004|Cop Side Event
Joanna Gaches,2006,Cop Side Event,2006_Cop Side Event,joanna gaches,1,Joanna Gaches,Ms.,Ms. Joanna Gaches,4,,,2,Joanna Gaches|2006|Cop Side Event
Joanna Khinmaung,2011,Cop Side Event,2011_Cop Side Event,joanna khinmaung,1,Joanna Khinmaung,Ms.,Ms. Joanna Khinmaung,1,,,2,Joanna Khinmaung|2011|Cop Side Event
